Timestamp,datetime,symbol,high,low,open,close,volume
1538989980,2018-10-08 17:13:00,btg_usd,26.04,26.04,26.04,26.04,2
1538990040,2018-10-08 17:14:00,btg_usd,26.04,26.04,26.04,26.04,0
1538990100,2018-10-08 17:15:00,btg_usd,26.04,26.04,26.04,26.04,0
1538990160,2018-10-08 17:16:00,btg_usd,26.04,26.04,26.04,26.04,0
1538990220,2018-10-08 17:17:00,btg_usd,26.04,26.04,26.04,26.04,0
1538990280,2018-10-08 17:18:00,btg_usd,26.13,26.13,26.13,26.13,2
1538990340,2018-10-08 17:19:00,btg_usd,25.57,25.57,25.57,25.57,2
1538990400,2018-10-08 17:20:00,btg_usd,25.57,25.57,25.57,25.57,0
1538990460,2018-10-08 17:21:00,btg_usd,25.57,25.57,25.57,25.57,0
1538990520,2018-10-08 17:22:00,btg_usd,26.45,26.45,26.45,26.45,2
1538990580,2018-10-08 17:23:00,btg_usd,26.45,26.45,26.45,26.45,0
1538990640,2018-10-08 17:24:00,btg_usd,26.45,26.45,26.45,26.45,0
1538990700,2018-10-08 17:25:00,btg_usd,26.45,26.45,26.45,26.45,0
1538990760,2018-10-08 17:26:00,btg_usd,25.91,25.91,25.91,25.91,2
1538990820,2018-10-08 17:27:00,btg_usd,25.91,25.91,25.91,25.91,0
1538990880,2018-10-08 17:28:00,btg_usd,25.91,25.91,25.91,25.91,0
1538990940,2018-10-08 17:29:00,btg_usd,26.52,26.52,26.52,26.52,2
1538991000,2018-10-08 17:30:00,btg_usd,26.52,26.52,26.52,26.52,0
1538991060,2018-10-08 17:31:00,btg_usd,26.52,26.52,26.52,26.52,0
1538991120,2018-10-08 17:32:00,btg_usd,26.52,26.52,26.52,26.52,0
1538991180,2018-10-08 17:33:00,btg_usd,26.52,26.52,26.52,26.52,0
1538991240,2018-10-08 17:34:00,btg_usd,26.52,26.52,26.52,26.52,0
1538991300,2018-10-08 17:35:00,btg_usd,26.52,26.52,26.52,26.52,0
1538991360,2018-10-08 17:36:00,btg_usd,25.95,25.95,25.95,25.95,2
1538991420,2018-10-08 17:37:00,btg_usd,25.95,25.95,25.95,25.95,0
1538991480,2018-10-08 17:38:00,btg_usd,25.57,25.57,25.57,25.57,2
1538991540,2018-10-08 17:39:00,btg_usd,25.57,25.57,25.57,25.57,0
1538991600,2018-10-08 17:40:00,btg_usd,26.26,26.26,26.26,26.26,2
1538991660,2018-10-08 17:41:00,btg_usd,26.26,26.26,26.26,26.26,0
1538991720,2018-10-08 17:42:00,btg_usd,26.26,26.26,26.26,26.26,0
1538991780,2018-10-08 17:43:00,btg_usd,26.26,26.26,26.26,26.26,0
1538991840,2018-10-08 17:44:00,btg_usd,25.67,25.67,25.67,25.67,2
1538991900,2018-10-08 17:45:00,btg_usd,25.67,25.67,25.67,25.67,0
1538991960,2018-10-08 17:46:00,btg_usd,25.67,25.67,25.67,25.67,0
1538992020,2018-10-08 17:47:00,btg_usd,25.67,25.67,25.67,25.67,0
1538992080,2018-10-08 17:48:00,btg_usd,25.67,25.67,25.67,25.67,0
1538992140,2018-10-08 17:49:00,btg_usd,26.28,26.28,26.28,26.28,2
1538992200,2018-10-08 17:50:00,btg_usd,26.28,26.28,26.28,26.28,0
1538992260,2018-10-08 17:51:00,btg_usd,26.28,26.28,26.28,26.28,0
1538992320,2018-10-08 17:52:00,btg_usd,26.28,26.28,26.28,26.28,0
1538992380,2018-10-08 17:53:00,btg_usd,26.28,26.28,26.28,26.28,0
1538992440,2018-10-08 17:54:00,btg_usd,26.28,26.28,26.28,26.28,0
1538992500,2018-10-08 17:55:00,btg_usd,25.9,25.9,25.9,25.9,2
1538992560,2018-10-08 17:56:00,btg_usd,25.9,25.9,25.9,25.9,0
1538992620,2018-10-08 17:57:00,btg_usd,25.9,25.9,25.9,25.9,0
1538992680,2018-10-08 17:58:00,btg_usd,25.9,25.9,25.9,25.9,0
1538992740,2018-10-08 17:59:00,btg_usd,25.9,25.9,25.9,25.9,0
1538992800,2018-10-08 18:00:00,btg_usd,25.95,25.95,25.95,25.95,2
1538992860,2018-10-08 18:01:00,btg_usd,25.95,25.95,25.95,25.95,0
1538992920,2018-10-08 18:02:00,btg_usd,25.95,25.95,25.95,25.95,0
1538992980,2018-10-08 18:03:00,btg_usd,25.95,25.95,25.95,25.95,0
1538993040,2018-10-08 18:04:00,btg_usd,25.95,25.95,25.95,25.95,0
1538993100,2018-10-08 18:05:00,btg_usd,25.95,25.95,25.95,25.95,0
1538993160,2018-10-08 18:06:00,btg_usd,25.57,25.57,25.57,25.57,2
1538993220,2018-10-08 18:07:00,btg_usd,25.57,25.57,25.57,25.57,0
1538993280,2018-10-08 18:08:00,btg_usd,25.57,25.57,25.57,25.57,0
1538993340,2018-10-08 18:09:00,btg_usd,25.57,25.57,25.57,25.57,0
1538993400,2018-10-08 18:10:00,btg_usd,25.57,25.57,25.57,25.57,0
1538993460,2018-10-08 18:11:00,btg_usd,25.78,25.78,25.78,25.78,2
1538993520,2018-10-08 18:12:00,btg_usd,25.78,25.78,25.78,25.78,0
1538993580,2018-10-08 18:13:00,btg_usd,25.78,25.78,25.78,25.78,0
1538993640,2018-10-08 18:14:00,btg_usd,25.78,25.78,25.78,25.78,0
1538993700,2018-10-08 18:15:00,btg_usd,25.78,25.78,25.78,25.78,0
1538993760,2018-10-08 18:16:00,btg_usd,25.78,25.78,25.78,25.78,0
1538993820,2018-10-08 18:17:00,btg_usd,26.31,26.31,26.31,26.31,2
1538993880,2018-10-08 18:18:00,btg_usd,26.31,26.31,26.31,26.31,0
1538993940,2018-10-08 18:19:00,btg_usd,26.31,26.31,26.31,26.31,0
1538994000,2018-10-08 18:20:00,btg_usd,26.31,26.31,26.31,26.31,0
1538994060,2018-10-08 18:21:00,btg_usd,26.31,26.31,26.31,26.31,0
1538994120,2018-10-08 18:22:00,btg_usd,26.31,26.31,26.31,26.31,0
1538994180,2018-10-08 18:23:00,btg_usd,26.11,26.11,26.11,26.11,2
1538994240,2018-10-08 18:24:00,btg_usd,26.11,26.11,26.11,26.11,0
1538994300,2018-10-08 18:25:00,btg_usd,26.11,26.11,26.11,26.11,0
1538994360,2018-10-08 18:26:00,btg_usd,26.11,26.11,26.11,26.11,0
1538994420,2018-10-08 18:27:00,btg_usd,26.11,26.11,26.11,26.11,0
1538994480,2018-10-08 18:28:00,btg_usd,26.78,26.78,26.78,26.78,2
1538994540,2018-10-08 18:29:00,btg_usd,26.78,26.78,26.78,26.78,0
1538994600,2018-10-08 18:30:00,btg_usd,26.78,26.78,26.78,26.78,0
1538994660,2018-10-08 18:31:00,btg_usd,26.78,26.78,26.78,26.78,0
1538994720,2018-10-08 18:32:00,btg_usd,26.78,26.78,26.78,26.78,0
1538994780,2018-10-08 18:33:00,btg_usd,25.87,25.87,25.87,25.87,2
1538994840,2018-10-08 18:34:00,btg_usd,25.87,25.87,25.87,25.87,0
1538994900,2018-10-08 18:35:00,btg_usd,25.87,25.87,25.87,25.87,0
1538994960,2018-10-08 18:36:00,btg_usd,25.87,25.87,25.87,25.87,0
1538995020,2018-10-08 18:37:00,btg_usd,25.87,25.87,25.87,25.87,0
1538995080,2018-10-08 18:38:00,btg_usd,25.85,25.85,25.85,25.85,2
1538995140,2018-10-08 18:39:00,btg_usd,25.57,25.57,25.57,25.57,2
1538995200,2018-10-08 18:40:00,btg_usd,25.57,25.57,25.57,25.57,0
1538995260,2018-10-08 18:41:00,btg_usd,25.57,25.57,25.57,25.57,0
1538995320,2018-10-08 18:42:00,btg_usd,25.57,25.57,25.57,25.57,0
1538995380,2018-10-08 18:43:00,btg_usd,25.57,25.57,25.57,25.57,0
1538995440,2018-10-08 18:44:00,btg_usd,26.4,26.4,26.4,26.4,2
1538995500,2018-10-08 18:45:00,btg_usd,26.4,26.4,26.4,26.4,0
1538995560,2018-10-08 18:46:00,btg_usd,26.4,26.4,26.4,26.4,0
1538995620,2018-10-08 18:47:00,btg_usd,26.67,26.67,26.67,26.67,2
1538995680,2018-10-08 18:48:00,btg_usd,26.67,26.67,26.67,26.67,0
1538995740,2018-10-08 18:49:00,btg_usd,26.67,26.67,26.67,26.67,0
1538995800,2018-10-08 18:50:00,btg_usd,26.67,26.67,26.67,26.67,0
1538995860,2018-10-08 18:51:00,btg_usd,26.67,26.67,26.67,26.67,0
1538995920,2018-10-08 18:52:00,btg_usd,26.67,26.67,26.67,26.67,0
1538995980,2018-10-08 18:53:00,btg_usd,26.67,26.67,26.67,26.67,0
1538996040,2018-10-08 18:54:00,btg_usd,26.67,26.67,26.67,26.67,0
1538996100,2018-10-08 18:55:00,btg_usd,26.67,26.67,26.67,26.67,0
1538996160,2018-10-08 18:56:00,btg_usd,26.67,26.67,26.67,26.67,0
1538996220,2018-10-08 18:57:00,btg_usd,26.67,26.67,26.67,26.67,0
1538996280,2018-10-08 18:58:00,btg_usd,26.67,26.67,26.67,26.67,0
1538996340,2018-10-08 18:59:00,btg_usd,27.07,27.07,27.07,27.07,2
1538996400,2018-10-08 19:00:00,btg_usd,27.07,27.07,27.07,27.07,0
1538996460,2018-10-08 19:01:00,btg_usd,27.07,27.07,27.07,27.07,0
1538996520,2018-10-08 19:02:00,btg_usd,27.07,27.07,27.07,27.07,0
1538996580,2018-10-08 19:03:00,btg_usd,27.43,27.43,27.43,27.43,2
1538996640,2018-10-08 19:04:00,btg_usd,27.43,27.43,27.43,27.43,0
1538996700,2018-10-08 19:05:00,btg_usd,27.43,27.43,27.43,27.43,0
1538996760,2018-10-08 19:06:00,btg_usd,27.43,27.43,27.43,27.43,0
1538996820,2018-10-08 19:07:00,btg_usd,27.43,27.43,27.43,27.43,0
1538996880,2018-10-08 19:08:00,btg_usd,27.43,27.43,27.43,27.43,0
1538996940,2018-10-08 19:09:00,btg_usd,26.82,26.82,26.82,26.82,2
1538997000,2018-10-08 19:10:00,btg_usd,26.82,26.82,26.82,26.82,0
1538997060,2018-10-08 19:11:00,btg_usd,26.82,26.82,26.82,26.82,0
1538997120,2018-10-08 19:12:00,btg_usd,26.82,26.82,26.82,26.82,0
1538997180,2018-10-08 19:13:00,btg_usd,26.82,26.82,26.82,26.82,0
1538997240,2018-10-08 19:14:00,btg_usd,26.82,26.82,26.82,26.82,0
1538997300,2018-10-08 19:15:00,btg_usd,26.93,26.93,26.93,26.93,2
1538997360,2018-10-08 19:16:00,btg_usd,26.93,26.93,26.93,26.93,0
1538997420,2018-10-08 19:17:00,btg_usd,26.93,26.93,26.93,26.93,0
1538997480,2018-10-08 19:18:00,btg_usd,26.93,26.93,26.93,26.93,0
1538997540,2018-10-08 19:19:00,btg_usd,26.93,26.93,26.93,26.93,0
1538997600,2018-10-08 19:20:00,btg_usd,26.93,26.93,26.93,26.93,0
1538997660,2018-10-08 19:21:00,btg_usd,26.12,26.12,26.12,26.12,2
1538997720,2018-10-08 19:22:00,btg_usd,26.12,26.12,26.12,26.12,0
1538997780,2018-10-08 19:23:00,btg_usd,26.12,26.12,26.12,26.12,0
1538997840,2018-10-08 19:24:00,btg_usd,26.12,26.12,26.12,26.12,0
1538997900,2018-10-08 19:25:00,btg_usd,25.91,25.91,25.91,25.91,2
1538997960,2018-10-08 19:26:00,btg_usd,25.91,25.91,25.91,25.91,0
1538998020,2018-10-08 19:27:00,btg_usd,25.91,25.91,25.91,25.91,0
1538998080,2018-10-08 19:28:00,btg_usd,25.91,25.91,25.91,25.91,0
1538998140,2018-10-08 19:29:00,btg_usd,25.91,25.91,25.91,25.91,0
1538998200,2018-10-08 19:30:00,btg_usd,26.04,26.04,26.04,26.04,2
1538998260,2018-10-08 19:31:00,btg_usd,26.04,26.04,26.04,26.04,0
1538998320,2018-10-08 19:32:00,btg_usd,26.04,26.04,26.04,26.04,0
1538998380,2018-10-08 19:33:00,btg_usd,26.04,26.04,26.04,26.04,0
